Age,2018-2019,2019-2020,2020-2021,2021-2022
0-6m,1757,1390,14,1928
7-12m,207,192,5,216
1,129,138,6,227
2,29,42,1,124
3,15,10,4,42
4,10,7,0,45
5,5,3,0,11
6,1,2,0,6
7,1,0,0,4
8,1,1,1,0
9,1,1,0,2
10,2,1,0,2
11,0,0,0,0
12,0,0,0,0
13,0,0,0,1
14,1,0,0,1
15,0,0,0,1
16,0,0,0,1
17,0,0,0,1
18,0,0,0,1
19,0,0,0,0
20,0,1,0,0
21,1,2,0,0
22,3,0,0,0
23,0,0,0,1
24,1,0,0,0
25,0,0,0,0
26,0,0,0,1
27,0,0,0,0
28,1,0,0,0
29,0,0,0,1
30,0,0,0,1
31,0,0,0,0
32,3,1,0,1
33,0,0,0,0
34,0,1,0,1
35,0,0,0,1
36,0,0,0,1
37,2,0,0,0
38,0,0,0,0
39,0,1,0,0
40,0,0,0,0
41,0,1,0,0
42,2,1,0,1
43,0,0,0,1
44,2,0,0,1
45,0,1,0,1
46,1,2,0,2
47,4,1,0,0
48,4,0,0,3
49,0,1,1,1
50,0,3,1,2
51,0,2,0,3
52,3,5,0,2
53,2,1,1,1
54,2,5,0,0
55,3,5,2,2
56,0,2,1,2
57,2,5,0,0
58,4,4,0,1
59,1,3,0,0
60,0,2,0,5
61,3,5,0,2
62,4,5,0,1
63,1,7,0,1
64,3,1,1,3
65,3,5,0,2
66,1,2,0,3
67,2,3,0,8
68,0,7,1,1
69,5,5,1,4
70,2,6,0,0
71,6,2,2,4
72,0,3,0,2
73,4,2,2,2
74,2,2,0,2
75,1,1,0,3
76,2,4,0,7
77,1,2,1,6
78,1,3,1,2
79,8,1,0,8
80,4,6,1,4
81+,35,35,6,31
